City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Dingle,PH,10.9995,122.6711,82.62,79,78,1.07,broken clouds
248,Saldanha,ZA,-33.0117,17.9442,67.41,87,29,5.06,scattered clouds
249,Meadow Lake,US,34.8014,-106.5436,50.36,43,0,10.8,clear sky
250,Pemba,MZ,-12.974,40.5178,78.06,81,97,2.82,overcast clouds
251,Emporia,US,38.4039,-96.1817,39.4,81,100,6.91,overcast clouds
252,Berezovyy,RU,51.6667,135.7,4.05,70,94,1.95,overcast clouds
253,Saint-Pierre,RE,-21.3393,55.4781,74.91,73,14,3.44,few clouds
254,Laguna,US,38.421,-121.4238,50.05,78,100,8.05,light rain
255,Russell,US,32.3502,-85.1999,60.08,100,75,4.61,broken clouds
256,Rundu,NA,-17.9333,19.7667,68.07,83,100,4.21,light rain
257,Forbes,AU,-33.3833,148.0167,68.92,34,93,18.97,overcast clouds
258,Millau,FR,44.0833,2.9167,24.93,49,41,2.15,scattered clouds
259,El Alto,PE,-4.2714,-81.2147,67.66,82,100,9.73,overcast clouds
260,Komsomolskiy,UZ,40.4272,71.7189,27.32,93,75,2.3,mist
261,Kolyubakino,RU,55.668,36.5323,37.58,98,100,13.27,light rain
262,Bethlehem,BR,-1.4558,-48.5044,78.84,89,75,5.75,broken clouds
263,Poum,NC,-20.2333,164.0167,80.49,71,2,3.06,clear sky
264,Big Rapids,US,43.6981,-85.4837,33.87,93,100,0.0,overcast clouds
265,Padang,ID,-0.9492,100.3543,75.25,85,100,2.64,moderate rain
266,Vaitape,PF,-16.5167,-151.75,74.26,88,100,9.82,moderate rain
267,Dhanwar,IN,24.4167,85.9833,59.81,48,0,4.0,clear sky
268,Ardakan,IR,32.31,54.0175,39.9,48,0,3.65,clear sky
269,Zhigansk,RU,66.7697,123.3711,-25.35,97,100,11.56,overcast clouds
270,Amnat Charoen,TH,15.9167,104.75,71.08,66,6,20.02,clear sky
271,Seoul,KR,37.5683,126.9778,36.84,36,100,4.61,overcast clouds
272,Iqaluit,CA,63.7506,-68.5145,6.53,77,100,2.3,light snow
273,Mount Isa,AU,-20.7333,139.5,98.37,23,8,9.22,clear sky
274,Toora-Khem,RU,52.4675,96.11,-19.16,99,42,2.64,scattered clouds
275,Kastamonu,TR,41.5,33.6667,47.23,86,100,3.65,light rain
276,Binga,ZW,-17.6203,27.3414,73.11,74,28,3.83,scattered clouds
277,Manzanillo,CU,20.3433,-77.1167,71.6,81,14,8.55,few clouds
278,Atherton,GB,53.5237,-2.4935,28.74,81,7,1.99,clear sky
279,Veraval,IN,20.9,70.3667,69.8,43,0,10.49,clear sky
280,Beatrice,US,40.2681,-96.747,34.18,100,100,11.5,mist
281,Ciudad Guayana,VE,8.3533,-62.6528,75.52,92,41,5.19,scattered clouds
282,Ypsonas,CY,34.6884,32.9574,63.57,72,0,8.05,clear sky
283,Maniitsoq,GL,65.4167,-52.9,19.17,56,0,6.38,clear sky
284,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.77,82,2,8.32,clear sky
285,Marinette,US,45.1,-87.6307,32.49,68,100,7.25,overcast clouds
286,Hun,LY,29.1268,15.9477,61.0,41,4,8.93,clear sky
287,Chaozhou,CN,23.6651,116.6379,60.66,66,89,8.52,overcast clouds
288,Havre,FR,49.5833,0.3333,33.57,86,100,6.91,snow
289,Shatsk,RU,54.0258,41.7119,31.6,88,100,20.78,overcast clouds
290,Shahpur,IN,16.7,76.8333,68.27,91,30,6.44,scattered clouds
291,Charters Towers,AU,-20.1,146.2667,92.12,38,7,9.93,clear sky
292,Mindelo,CV,16.8901,-24.9804,72.95,88,40,14.97,scattered clouds
293,Clacton-On-Sea,GB,51.7897,1.156,37.78,91,100,4.0,light rain
294,Kahramanmaras,TR,38.0,37.0,38.46,93,100,8.19,overcast clouds
295,Cermik,TR,38.1361,39.4493,45.61,81,100,3.69,overcast clouds
296,Kenora,CA,49.8167,-94.4337,28.78,92,100,8.99,overcast clouds
297,Evensk,RU,61.95,159.2333,-4.83,87,100,6.91,overcast clouds
298,Maceio,BR,-9.6658,-35.7353,74.64,94,20,3.44,few clouds
299,Zabol,AF,32.25,67.25,36.79,97,100,1.21,overcast clouds
300,Elliot Lake,CA,46.3834,-82.6331,19.98,74,27,4.72,scattered clouds
301,Baherden,TM,38.4362,57.4316,32.81,60,6,6.44,clear sky
302,Caravelas,BR,-17.7125,-39.2481,74.5,91,44,8.01,scattered clouds
303,Rincon,US,32.296,-81.2354,59.86,80,100,5.75,overcast clouds
304,Port Lincoln,AU,-34.7333,135.8667,61.99,50,69,19.1,broken clouds
305,Port Hardy,CA,50.6996,-127.4199,36.95,79,17,8.72,few clouds
306,Souillac,MU,-20.5167,57.5167,75.58,78,40,9.22,scattered clouds
307,Valley,US,45.1277,-116.1262,27.21,96,100,4.7,snow
308,Saint Anthony,US,45.0205,-93.218,32.97,80,100,6.91,overcast clouds
309,Dolores,AR,-36.3132,-57.6792,62.24,81,0,15.08,clear sky
310,Longfeng,CN,46.55,125.1167,21.4,78,100,16.93,overcast clouds
311,Yerbogachen,RU,61.2767,108.0108,-25.47,95,100,4.59,overcast clouds
312,Strakonice,CZ,49.2614,13.9024,22.48,87,98,6.46,overcast clouds
313,Garowe,SO,8.4054,48.4845,65.28,76,48,7.45,scattered clouds
314,Saint George,US,37.1041,-113.5841,45.19,91,100,6.91,moderate rain
315,Bathurst,AU,-33.4166,149.5806,59.97,89,96,4.0,overcast clouds
316,Bemidji,US,47.4736,-94.8803,31.17,85,0,14.97,clear sky
317,Kondinskoye,RU,59.6481,67.41,6.93,96,100,7.65,light snow
318,Fortuna,US,40.5982,-124.1573,44.65,93,40,5.75,scattered clouds
319,Bahia Honda,CU,22.9036,-83.1592,72.52,85,16,5.21,few clouds
320,Berlevag,NO,70.8578,29.0864,23.0,50,38,19.57,scattered clouds
321,Mlalo,TZ,-4.9333,38.9333,71.78,95,4,4.16,clear sky
322,Salalah,OM,17.0151,54.0924,75.29,35,0,8.05,clear sky
323,Hoi An,VN,15.8794,108.335,73.36,88,100,11.59,overcast clouds
324,Kaeo,NZ,-35.1,173.7833,70.88,68,78,6.4,broken clouds
325,Elat,IL,29.5581,34.9482,55.24,67,51,0.0,broken clouds
326,San Patricio,US,28.017,-97.5169,73.49,77,98,6.73,overcast clouds
327,Sherman,US,33.6357,-96.6089,53.17,89,100,0.0,overcast clouds
328,Cassilandia,BR,-19.1133,-51.7342,72.34,87,100,5.23,overcast clouds
329,Coruripe,BR,-10.1256,-36.1756,76.68,87,56,10.56,broken clouds
330,Samarai,PG,-10.6167,150.6667,84.67,72,65,7.99,broken clouds
331,Constitucion,CL,-35.3333,-72.4167,56.66,79,0,17.76,clear sky
332,Bonthe,SL,7.5264,-12.505,79.05,84,100,5.91,overcast clouds
333,Pingzhuang,CN,42.0372,119.2889,22.91,35,0,14.23,clear sky
334,Mount Gambier,AU,-37.8333,140.7667,58.87,63,64,16.84,light rain
335,Mao,ES,39.8885,4.2658,52.36,100,40,9.22,scattered clouds
336,Zharkent,KZ,44.1628,80.0,6.98,74,2,2.98,clear sky
337,Portland,US,45.5234,-122.6762,44.89,94,100,4.0,overcast clouds
338,Nakhon Phanom,TH,17.3333,104.4167,75.0,65,100,11.03,overcast clouds
339,Ust-Maya,RU,60.4167,134.5333,-40.83,99,92,1.43,overcast clouds
340,Barra Do Garcas,BR,-15.89,-52.2567,72.95,90,100,3.78,overcast clouds
341,Pula,HR,44.8683,13.8481,39.76,65,75,6.91,broken clouds
342,Chardara,KZ,41.2547,67.9692,25.39,68,96,4.03,overcast clouds
343,Wanning,CN,18.8003,110.3967,67.12,68,49,15.23,scattered clouds
344,Tarakan,ID,3.3,117.6333,78.3,89,100,2.3,moderate rain
